date;day_value;year_value
29.01.2025;-4,29;-3522,94
30.01.2025;-18,41;-3525,71
31.01.2025;-4,07;-3536,82
01.02.2025;-11,64;-3540,97
02.02.2025;-3,03;-3549,89
03.02.2025;-4,83;-3552,58
04.02.2025;-2,81;-3554,73
05.02.2025;-8,88;-3555,96
06.02.2025;-0,49;-3564,84
07.02.2025;-0,26;-3562,27
08.02.2025;-7,34;-3565,91
09.02.2025;-0,65;-3570,09
10.02.2025;0,55;-3563,48
11.02.2025;-7,26;-3563,02
12.02.2025;-9,71;-3568,95
13.02.2025;-6,09;-3576,24
14.02.2025;-13,52;-3581,85
15.02.2025;-1,21;-3590,37
16.02.2025;-11,34;-3589,41
17.02.2025;-12,05;-3558,65
18.02.2025;-4,34;-3567,33
19.02.2025;-30,14;-3571,43
20.02.2025;-22,20;-3599,88
21.02.2025;-4,33;-3617,93
22.02.2025;-1,05;-3615,87
23.02.2025;-6,94;-3618,36
24.02.2025;-13,99;-3619,18
25.02.2025;-2,92;-3628,50
26.02.2025;-0,91;-3625,20
27.02.2025;-3,32;-3622,93
28.02.2025;-5,92;-3613,61
01.03.2025;0,00;-3620,57
02.03.2025;-2,53;-3617,71
03.03.2025;-12,69;-3619,80
04.03.2025;-2,40;-3631,14
05.03.2025;3,63;-3633,54
06.03.2025;0,00;-3629,91
07.03.2025;-2,72;-3629,35
08.03.2025;0,00;-3632,07
09.03.2025;0,00;-3630,42
10.03.2025;4,73;-3630,42
11.03.2025;0,00;-3625,27
12.03.2025;-7,79;-3624,73
13.03.2025;-5,47;-3632,42
14.03.2025;-4,88;-3632,58
15.03.2025;-5,51;-3635,71
16.03.2025;-1,15;-3638,52
17.03.2025;-15,35;-3638,94
18.03.2025;0,00;-3653,32
19.03.2025;-9,60;-3652,33
20.03.2025;-7,03;-3661,93
21.03.2025;-1,05;-3668,86
22.03.2025;-13,52;-3668,57
23.03.2025;2,91;-3678,75
24.03.2025;-12,29;-3668,30
25.03.2025;-11,13;-3678,23
26.03.2025;0,00;-3689,36
27.03.2025;-4,39;-3689,36
28.03.2025;-7,35;-3693,75
29.03.2025;-0,33;-3700,91
30.03.2025;-7,55;-3700,12
31.03.2025;-6,98;-3707,67
01.04.2025;-2,13;-3713,77
02.04.2025;-4,29;-3715,90
